cmor_label,title,miptable,cf_std_name,description,cell_methods,dimension,units,positive,realm,priority,requesting_mips,UKESM_component,Owner,Variable_mapping,PP_constraint,Stream,Plan,Ticket,Comment (this goes into file metadata?),Notes (this doesn't)
prc,Convective Precipitation,em1hr,convective_precipitation_flux,at surface; includes both liquid and solid phases.,time: mean,longitude latitude time  ,kg m-2 s-1,None,atmos,1,HighResMIP,precip,,,,,,,,
ua,Eastward Wind,em1hr,eastward_wind,unset,time: point,longitude latitude plev27 time1  ,m s-1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
zg,Geopotential Height,em1hr,geopotential_height,unset,time: point,longitude latitude plev27 time1  ,m,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
wap,omega (=dp/dt),em1hr,lagrangian_tendency_of_air_pressure,"commonly referred to as omega, this represents the vertical component of velocity in pressure coordinates (positive down)",time: point,longitude latitude plev27 time1  ,Pa s-1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
va,Northward Wind,em1hr,northward_wind,unset,time: point,longitude latitude plev27 time1  ,m s-1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
pr,Precipitation (liquid and solid),em1hr,precipitation_flux,at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective),time: mean,longitude latitude time  ,kg m-2 s-1,None,atmos,1,HighResMIP,precip,,,,,,,,
tntr,Tendency of Air Temperature due to Radiative Heating,em1hr,tendency_of_air_temperature_due_to_radiative_heating,unset,time: point,longitude latitude plev27 time1  ,K s-1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
rlut,TOA Outgoing Longwave Radiation,em1hr,toa_outgoing_longwave_flux,at the top of the atmosphere.,time: point,longitude latitude time1  ,W m-2,up,atmos,1,HighResMIP,radiation,,,,,,,,
x-nonorog-gwd-param,x_gravity_wave_drag_param,em1hr,,Parameterised x-component of non-orographic gravity wave drag,time: point,longitude latitude plev27 time1  ,m s-2,,atmos,2,HighResMIP,atmos-physics,,,,,,,,
y-nonorog-gwd-param,y_gravity_wave_drag_param,em1hr,,Parameterised y- component of non-orogrpahic  gravity wave drag,time: point,longitude latitude plev27 time1  ,m s-2,,atmos,2,HighResMIP,atmos-physics,,,,,,,,
psl,Sea Level Pressure,em3hr,air_pressure_at_sea_level,unset,time: point,longitude latitude time1  ,Pa,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
ta,Air Temperature,em3hr,air_temperature,unset,time: point,longitude latitude plev4 time1  ,K,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
clwvi,Condensed Water Path,em3hr,atmosphere_cloud_condensed_water_content,Mass of condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.,time: mean,longitude latitude time  ,kg m-2,None,atmos,1,HighResMIP,cloud,,,,,,,,
clivi,Ice Water Path,em3hr,atmosphere_mass_content_of_cloud_ice,Mass of ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). Includes precipitating frozen hydrometeors ONLY if the precipitating hydrometeor affects the calculation of radiative transfer in model.,time: mean,longitude latitude time  ,kg m-2,None,atmos,1,HighResMIP,cloud,,,,,,,,
prw,Water Vapor Path,em3hr,atmosphere_water_vapor_content,vertically integrated through the atmospheric column,time: mean,longitude latitude time  ,kg m-2,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
aerasym,Aerosol level asymmetry parameter for each band,em3hr,band_aerosol_asymmetry_parameter,,time: mean,longitude latitude alevel time  ,unitless,,atmos,1,RFMIP,aerosol,,,,,,,,
aerext,Aerosol level extinction resolved for each band,em3hr,band_aerosol_extinction,,time: mean,longitude latitude alevel time  ,km-1,,atmos,1,RFMIP,aerosol,,,,,,,,
aerssa,Aerosol level single-scattering albedo for each band,em3hr,band_aerosol_single_scattering_albedo,,time: mean,longitude latitude alevel time  ,unitless,,atmos,1,RFMIP,aerosol,,,,,,,,
albdiff,Aerosol level extinction for band,em3hr,band_diffuse_albedo,,time: mean,longitude latitude time  ,unitless,,atmos,1,RFMIP,aerosol,,,,,,,,
albdir,Aerosol level single-scattering albedo for band,em3hr,band_direct_albedo,,time: mean,longitude latitude time  ,unitless,,atmos,1,RFMIP,aerosol,,,,,,,,
sol,Top-of-Atmosphere Solar Insolation in band,em3hr,band_solar_insolation,,time: mean,longitude latitude time  ,W m-2,,atmos,1,RFMIP,radiation,,,,,,,,
cltcalipso,CALIPSO Total Cloud Fraction,em3hr,cloud_area_fraction,unset,time: point,longitude latitude time1  ,%,None,atmos,1,CFMIP,cloud,,,,,,,,
clcalipso,CALIPSO Cloud Area Fraction,em3hr,cloud_area_fraction_in_atmosphere_layer,unset,time: point,longitude latitude plev40 time1  ,%,None,atmos,1,CFMIP,cloud,,,,,,,,
clcalipso2,CALIPSO Cloud Fraction Undetected by CloudSat,em3hr,cloud_area_fraction_in_atmosphere_layer,Clouds detected by CALIPSO but below the detectability threshold of CloudSat,time: point,longitude latitude plev40 time1  ,%,None,atmos,1,CFMIP,cloud,,,,,,,,
clhcalipso,CALIPSO High Level Cloud Fraction,em3hr,cloud_area_fraction_in_atmosphere_layer,unset,time: point,longitude latitude time1  ,%,None,atmos,1,CFMIP,cloud,,,,,,,,
cllcalipso,CALIPSO Low Level Cloud Fraction,em3hr,cloud_area_fraction_in_atmosphere_layer,unset,time: point,longitude latitude time1  ,%,None,atmos,1,CFMIP,cloud,,,,,,,,
clmcalipso,CALIPSO Mid Level Cloud Fraction,em3hr,cloud_area_fraction_in_atmosphere_layer,unset,time: point,longitude latitude time1  ,%,None,atmos,1,CFMIP,cloud,,,,,,,,
clmisr,Cloud Fraction as Calculated by the MISR Simulator,em3hr,cloud_area_fraction_in_atmosphere_layer,,time: point,longitude latitude plev16 time1 effectRad ,%,,atmos,1,CFMIP,cloud,,,,,,,,
jpdftaureicemodis,"MODIS Optical Thickness-Particle Size joint  distribution, ice",em3hr,cloud_area_fraction_in_atmosphere_layer,,time: point,longitude latitude plev7 time1 effectRad ,%,,atmos,1,CFMIP,cloud,,,,,,,,
jpdftaureliqmodis,"MODIS Optical Thickness-Particle Size joint  distribution, liquid",em3hr,cloud_area_fraction_in_atmosphere_layer,,time: point,longitude latitude plev7 time1 effectRad ,%,,atmos,1,CFMIP,cloud,,,,,,,,
ua,Eastward Wind,em3hr,eastward_wind,unset,time: point,longitude latitude time1  ,m s-1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
gpp,Carbon Mass Flux out of Atmosphere due to Gross Primary Production on Land,em3hr,gross_primary_productivity_of_carbon,unset,time: mean area: mean where land,longitude latitude time  ,kg m-2 s-1,down,land,1,"C4MIP, LS3MIP",carbon,,,,,,,,
rh,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration on Land,em3hr,heterotrophic_respiration_carbon_flux,unset,time: mean area: mean where land,longitude latitude time  ,kg m-2 s-1,up,land,1,"C4MIP, LS3MIP",carbon,,,,,,,,
cfadLidarsr532,CALIPSO Scattering Ratio CFAD,em3hr,histogram_of_backscattering_ratio_over_height_above_reference_ellipsoid,CFADs (Cloud Frequency Altitude Diagrams) are joint height - radar reflectivity (or lidar scattering ratio) distributions.,time: point,longitude latitude plev40 time1 effectRad ,1,None,atmos,1,CFMIP,cloud,,,,,,,,
cfadDbze94,CloudSat Radar Reflectivity CFAD,em3hr,histogram_of_equivalent_reflectivity_factor_over_height_above_reference_ellipsoid,CFADs (Cloud Frequency Altitude Diagrams) are joint height - radar reflectivity (or lidar scattering ratio) distributions.,time: point,longitude latitude plev40 time1 effectRad ,1,None,atmos,1,CFMIP,cloud,,,,,,,,
clisccp,ISCCP Cloud Area Fraction,em3hr,isccp_cloud_area_fraction,unset,time: mean,longitude latitude time  ,%,None,atmos,1,HighResMIP,cloud,,,,,,,,
wap,omega (=dp/dt),em3hr,lagrangian_tendency_of_air_pressure,"commonly referred to as omega, this represents the vertical component of velocity in pressure coordinates (positive down)",time: point,longitude latitude plev4 time1  ,Pa s-1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
va,Northward Wind,em3hr,northward_wind,unset,time: point,longitude latitude time1  ,m s-1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
ra,Carbon Mass Flux into Atmosphere due to Autotrophic (Plant) Respiration on Land,em3hr,plant_respiration_carbon_flux,unset,time: mean area: mean where land,longitude latitude time  ,kg m-2 s-1,up,land,1,"C4MIP, LS3MIP",carbon,,,,,,,,
hus,Specific Humidity,em3hr,specific_humidity,unset,time: point,longitude latitude plev4 time1  ,1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
rsdscc,Surface Downwelling Clean-Clear-Sky Shortwave Radiation,em3hr,surface_downwelling_shortwave_flux_in_air_assuming_clean_clear_sky,Calculated in the absence of aerosols and clouds.,time: mean,longitude latitude time  ,W m-2,,atmos,1,RFMIP,radiation,,,,,,,,
rsdscs,Surface Downwelling Clear-Sky Shortwave Radiation,em3hr,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,unset,time: mean,longitude latitude time  ,W m-2,down,atmos,1,RFMIP,radiation,,,,,,,,
parasolRefl,PARASOL Reflectance,em3hr,toa_bidirectional_reflectance,Simulated reflectance from PARASOL as seen at the top of the atmosphere for 5 solar zenith angles. Valid only over ocean and for one viewing direction (viewing zenith angle of 30 degrees and relative azimuth angle 320 degrees).,time: point area: mean where sea,longitude latitude time1 angle ,1,None,atmos,1,CFMIP,cloud,,,,,,,,
rsdt,TOA Incident Shortwave Radiation,em3hr,toa_incoming_shortwave_flux,at the top of the atmosphere,time: mean,longitude latitude time  ,W m-2,down,atmos,1,HighResMIP,radiation,,,,,,,,
rlut,TOA Outgoing Longwave Radiation,em3hr,toa_outgoing_longwave_flux,at the top of the atmosphere.,time: mean,longitude latitude time  ,W m-2,up,atmos,1,HighResMIP,radiation,,,,,,,,
rlutcs,TOA Outgoing Clear-Sky Longwave Radiation,em3hr,toa_outgoing_longwave_flux_assuming_clear_sky,unset,time: mean,longitude latitude time  ,W m-2,up,atmos,1,HighResMIP,radiation,,,,,,,,
rsut,TOA Outgoing Shortwave Radiation,em3hr,toa_outgoing_shortwave_flux,at the top of the atmosphere,time: mean,longitude latitude time  ,W m-2,up,atmos,1,HighResMIP,radiation,,,,,,,,
rsutcc,TOA Outgoing Clean-Clear-Sky Shortwave Radiation,em3hr,toa_outgoing_shortwave_flux_assuming_clean_clear_sky,Calculated in the absence of aerosols and clouds.,time: mean,longitude latitude time  ,W m-2,,atmos,1,RFMIP,radiation,,,,,,,,
rsutcs,TOA Outgoing Clear-Sky Shortwave Radiation,em3hr,toa_outgoing_shortwave_flux_assuming_clear_sky,unset,time: mean,longitude latitude time  ,W m-2,up,atmos,1,RFMIP,radiation,,,,,,,,
prcsh,shallow_conv_precipitation_flux,em3hr,,Convection precipitation from shallow convection,time: mean,longitude latitude time  ,kg m-2 s-1,,atmos,1,HighResMIP,precip,,,,,,,,
pmlev,Air Pressure,em6hr,air_pressure,The atmospheric pressure at the model layer midpoints for all times and levels in the associated output variables,,longitude latitude    ,Pa,None,atmos,0,PMIP,atmos-physics,,,,,,,,
psl,Sea Level Pressure,em6hr,air_pressure_at_sea_level,unset,time: point,longitude latitude time1  ,Pa,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
ta,Air Temperature,em6hr,air_temperature,unset,time: point,longitude latitude plev27 time1  ,K,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
tas,Near-Surface Air Temperature,em6hr,air_temperature,"near-surface (usually, 2 meter) air temperature",time: point,longitude latitude time1  ,K,None,atmos,1,HighResMIP,boundary layer,,,,,,,,
dtauc,Convective Cloud Optical Depth,em6hr,atmosphere_optical_thickness_due_to_convective_cloud,This is the in-cloud optical depth obtained by considering only the cloudy portion of the grid cell,time: point,longitude latitude time1  ,1,None,atmos,2,HighResMIP,cloud,,,,,,,,
dtaus,Stratiform Cloud Optical Depth,em6hr,atmosphere_optical_thickness_due_to_stratiform_cloud,This is the in-cloud optical depth obtained by considering only the cloudy portion of the grid cell.,time: point,longitude latitude time1  ,1,None,atmos,2,HighResMIP,cloud,,,,,,,,
ua,Eastward Wind,em6hr,eastward_wind,unset,time: mean,longitude latitude plev4 time  ,m s-1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
ua200,Eastward Wind,em6hr,eastward_wind,unset,,longitude latitude   ,m s-1,None,atmos,0,PMIP,atmos-physics,,,,,,,,
ua850,Eastward Wind at 850 hPa,em6hr,eastward_wind,Zonal wind on the 850 hPa surface,,longitude latitude   ,m s-1,None,atmos,0,PMIP,atmos-physics,,,,,,,,
uas,Eastward Near-Surface Wind,em6hr,eastward_wind,"near-surface (usually, 10 meters) eastward component of wind.",time: point,longitude latitude time1  ,m s-1,None,atmos,1,HighResMIP,boundary layer,,,,,,,,
zg,Geopotential Height,em6hr,geopotential_height,unset,time: point,longitude latitude plev27 time1  ,m,None,atmos,2,HighResMIP,atmos-physics,,,,,,,,
zg1000,Geopotential Height at 1000 hPa,em6hr,geopotential_height,Geopotential height on the 1000 hPa surface,time: mean,longitude latitude time  ,m,,atmos,1,DCPP,atmos-physics,,,,,,,,
wap,omega (=dp/dt),em6hr,lagrangian_tendency_of_air_pressure,"commonly referred to as omega, this represents the vertical component of velocity in pressure coordinates (positive down)",time: mean,longitude latitude plev4 time  ,Pa s-1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
lw-sfflux-aero,longwave  flux  due to volcanic aerosols at the surface,em6hr,longwave  flux  due to volcanic aerosols at the surface,"longwave  flux  due to volcanic aerosols at the surface to be diagnosed through double radiation call, zonal average values required",time: point,longitude latitude time1  ,Wm-2,,atmos,2,VolMIP,aerosol,,,,,,,,
lw-toaflux-aero-cs,longwave flux due to volcanic aerosols at TOA under clear sky,em6hr,longwave flux due to volcanic aerosols at TOA under clear sky,"longwave flux due to volcanic aerosols at TOA under clear sky to be diagnosed through double radiation call, zonal average values required",time: point,longitude latitude time1  ,Wm-2,,atmos,2,VolMIP,aerosol,,,,,,,,
zmlw-aero,Zonal mean longwave heating rate due to volcanic aerosols,em6hr,longwave heating rate due to volcanic aerosols,"longwave heating rate due to volcanic aerosols to be diagnosed through double radiation call, zonal average values required",time: point,latitude alevel time1  ,K/day,,atmos,2,VolMIP,aerosol,,,,,,,,
mrlsl,Water Content of Soil Layer,em6hr,moisture_content_of_soil_layer,"in each soil layer, the mass of water in all phases, including ice.  Reported as missing for grid cells occupied entirely by sea",time: point,longitude latitude time1  ,kg m-2,None,land,1,HighResMIP,land,,,,,,,,
mrsos,Moisture in Upper Portion of Soil Column,em6hr,moisture_content_of_soil_layer,the mass of water in all phases in a thin surface soil layer.,time: point,longitude latitude time1  ,kg m-2,None,land,1,HighResMIP,land,,,,,,,,
va,Northward Wind,em6hr,northward_wind,unset,time: mean,longitude latitude plev4 time  ,m s-1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
va200,Northward Wind,em6hr,northward_wind,unset,,longitude latitude   ,m s-1,None,atmos,0,PMIP,atmos-physics,,,,,,,,
va850,Northward Wind,em6hr,northward_wind,unset,,longitude latitude   ,m s-1,None,atmos,0,PMIP,atmos-physics,,,,,,,,
vas,Northward Near-Surface Wind,em6hr,northward_wind,unset,time: point,longitude latitude time1  ,m s-1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
prmax,Precipitation maximum,em6hr,precipitation_flux,Maximum instantaneous precipiation,time: point,longitude latitude time1  ,,,atmos,1,DCPP,precip,,,,,,,,
rv850,Relative Vorticity at 850 hPa,em6hr,relative_vorticity,,time: mean,longitude latitude time  ,s-1,,atmos,2,DCPP,atmos-physics,,,,,,,,
sw-sfflux-aero,shortwave  flux due to volcanic aerosols at  the surface,em6hr,shortwave  flux due to volcanic aerosols at  the surface,"shortwave  flux due to volcanic aerosols at  the surface to be diagnosed through double radiation call, zonal average values required",time: point,longitude latitude time1  ,Wm-2,,atmos,2,VolMIP,aerosol,,,,,,,,
sw-toaflux-aero-cs,shortwave flux due to volcanic aerosols at TOA under clear sky,em6hr,shortwave flux due to volcanic aerosols at TOA under clear sky,"shortwave flux due to volcanic aerosols at TOA under clear sky to be diagnosed through double radiation call, zonal average values required",time: point,longitude latitude time1  ,Wm-2,,atmos,2,VolMIP,aerosol,,,,,,,,
zmsw-aero,Zonal mean shortwave heating rate due to volcanic aerosols,em6hr,shortwave heating rate due to volcanic aerosols,"shortwave heating rate due to volcanic aerosols to be diagnosed through double radiation call, zonal average values required",time: point,latitude alevel time1  ,K/day,,atmos,2,VolMIP,aerosol,,,,,,,,
tsl,Temperature of Soil,em6hr,soil_temperature,Temperature of each soil layer.  Reported as missing for grid cells occupied entirely by sea.,time: point,longitude latitude time1  ,K,None,land,2,HighResMIP,land,,,,,,,,
hus,Specific Humidity,em6hr,specific_humidity,unset,time: point,longitude latitude plev27 time1  ,1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
huss,Near-Surface Specific Humidity,em6hr,specific_humidity,"near-surface (usually, 2 meter) specific humidity.",time: point,longitude latitude time1  ,1,None,atmos,1,HighResMIP,boundary layer,,,,,,,,
snw,Surface Snow Amount,em6hr,surface_snow_amount,the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as 0.0 where the land fraction is 0; excludes snow on vegetation canopy or on sea ice.,time: point,longitude latitude time1  ,kg m-2,None,landIce land,1,HighResMIP,snow-permafrost,,,,,,,,
ts,Surface Temperature,em6hr,surface_temperature,"skin temperature (i.e., SST for open ocean)",time: point,longitude latitude time1  ,K,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
sfcWind,Near-Surface Wind Speed,em6hr,wind_speed,"near-surface (usually, 10 meters) wind speed.",time: point,longitude latitude time1  ,m s-1,None,atmos,1,HighResMIP,boundary layer,,,,,,,,
cld-ice-mxrat,cloud_ice_mixing_ratio,em6hr,,Cloud ice mixing ratio,time: point,longitude latitude plev27 time1  ,,,atmos,2,HighResMIP,cloud,,,,,,,,
cld-wat-mxrat,cloud_water_mixing_ratio,em6hr,,Cloud water mixing ratio,time: point,longitude latitude plev27 time1  ,,,atmos,2,HighResMIP,cloud,,,,,,,,
grpl-mxrat,graupel_mixing_ratio,em6hr,,Graupel mixing ratio,time: point,longitude latitude plev27 time1  ,,,atmos,2,HighResMIP,cloud,,,,,,,,
rain-mxrat,rain_mixing_ratio,em6hr,,Rain mixing ratio,time: point,longitude latitude plev27 time1  ,,,atmos,2,HighResMIP,precip,,,,,,,,
snow-mxrat,snow_mixing_ratio,em6hr,,Snow mixing ratio,time: point,longitude latitude plev27 time1  ,,,atmos,2,HighResMIP,precip,,,,,,,,
surf-albedo,surface_albedo,em6hr,,Surface albedo,time: point,longitude latitude time1  ,,,atmos,2,HighResMIP,radiation,,,,,,,,
vortmean,vorticity_mean_850_700,em6hr,,"Mean vorticity over 850,700,600 hPa",time: point,longitude latitude plev3 time1  ,s-1,,atmos,2,HighResMIP,atmos-physics,,,,,,,,
wbptemp,wet_bulb_potential_temperature,em6hr,,Wet bulb potential temperature,time: mean,longitude latitude plev7 time  ,K,,atmos,1,HighResMIP,atmos-physics,,,,,,,,
ares,Aerodynamic resistance,emDay,aerodynamic_resistance,,time: mean,longitude latitude time  ,s/m,,__unset__,2,LS3MIP,land,,,,,,,,
agesno,Snow Age,emDay,age_of_surface_snow,"When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as missing in regions free of snow on land.",time: mean,longitude latitude time  ,day,None,landIce land,1,LS3MIP,snow-permafrost,,,,,,,,
ta,Air Temperature,emDay,air_temperature,unset,time: mean,longitude latitude plev17 time  ,K,None,atmos,1,"DAMIP, DynVar, VolMIP",atmos-physics,,,,,,,,
ta500,Air Temperature,emDay,air_temperature,unset,,longitude latitude   ,K,None,atmos,0,PMIP,atmos-physics,,,,,,,,
ta850,Air Temperature,emDay,air_temperature,unset,,longitude latitude   ,K,None,atmos,0,PMIP,atmos-physics,,,,,,,,
tasmax,Daily Maximum Near-Surface Air Temperature,emDay,air_temperature,"maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute time: max)",time: mean,longitude latitude time  ,K,,__unset__,1,LS3MIP,boundary layer,,,,,,,,
tasmin,Daily Minimum Near-Surface Air Temperature,emDay,air_temperature,"minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute time: min)",time: mean,longitude latitude time  ,K,,__unset__,1,LS3MIP,boundary layer,,,,,,,,
zmla,Height of Boundary Layer,emDay,atmosphere_boundary_layer_thickness,,,longitude latitude   ,m,None,atmos,0,PMIP,boundary layer,,,,,,,,
clwvic,Convective Condensed Water Path,emDay,atmosphere_convective_cloud_condensed_water_content,calculate mass of convective condensed (liquid + ice) water in the column divided by the area of the column (not just the area of the cloudy portion of the column). This includes precipitating hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.  ,time: mean,longitude latitude time  ,kg m-2 ,,atmos,1,CFMIP,cloud,,,,,,,,
clivic,Convective Ice Water Path,emDay,atmosphere_convective_cloud_ice_content,calculate mass of convective ice water in the column divided by the area of the column (not just the area of the cloudy portion of the column). This includes precipitating frozen hydrometeors ONLY if the precipitating hydrometeors affect the calculation of radiative transfer in model.  ,time: mean,longitude latitude time  ,kg m-2 ,,atmos,1,CFMIP,cloud,,,,,,,,
loadnh4,Load of NH4,emDay,atmosphere_mass_content_of_ammonium_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,3,CFMIP,aerosol,,,,,,,,
loadbc,Load of Black Carbon Aerosol,emDay,atmosphere_mass_content_of_black_carbon_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,CFMIP,aerosol,,,,,,,,
loaddust,Load of Dust,emDay,atmosphere_mass_content_of_dust_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,CFMIP,aerosol,,,,,,,,
loadno3,Load of NO3,emDay,atmosphere_mass_content_of_nitrate_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,CFMIP,aerosol,,,,,,,,
loadoa,Load of Dry Aerosol Organic Matter,emDay,atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol,atmosphere dry organic content: This is the vertically integrated sum of atmosphere_primary_organic_content and atmosphere_secondary_organic_content (see next two table entries).,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,CFMIP,aerosol,,,,,,,,
loadpoa,Load of Dry Aerosol Primary Organic Matter,emDay,atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,CFMIP,aerosol,,,,,,,,
loadss,Load of Seasalt,emDay,atmosphere_mass_content_of_seasalt_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,CFMIP,aerosol,,,,,,,,
loadsoa,Load of Dry Aerosol Secondary Organic Matter,emDay,atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,CFMIP,aerosol,,,,,,,,
loadso4,Load of SO4,emDay,atmosphere_mass_content_of_sulfate_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,CFMIP,aerosol,,,,,,,,
albc,Canopy Albedo,emDay,canopy_albedo,,time: mean,longitude latitude time  ,,,__unset__,2,LS3MIP,radiation,,,,,,,,
tws,Terrestrial Water Storage,emDay,canopy_and_surface_and_subsurface_water_amount,,time: mean,longitude latitude time  ,kg/m2,,__unset__,1,LS3MIP,land,,,,,,,,
snwc,SWE intercepted by the vegetation,emDay,canopy_snow_amount,"Total water mass of the snowpack (liquid or frozen), averaged over a grid cell and interecepted by the canopy.",time: mean,longitude latitude time  ,kg/m2,,__unset__,1,LS3MIP,land,,,,,,,,
cw,Total canopy water storage,emDay,canopy_water_amount,,time: mean,longitude latitude time  ,kg/m2,,__unset__,1,LS3MIP,land,,,,,,,,
dcw,Change in interception storage,emDay,change_over_time_in_canopy_water_amount,,time: mean,longitude latitude time  ,kg/m2,,__unset__,1,LS3MIP,land,,,,,,,,
dgw,Change in groundwater,emDay,change_over_time_in_groundwater,,time: mean,longitude latitude time  ,kg/m2,,__unset__,2,LS3MIP,land,,,,,,,,
drivw,Change in river storage,emDay,change_over_time_in_river_water_amount,,time: mean,longitude latitude time  ,kg/m2,,__unset__,2,LS3MIP,land,,,,,,,,
dsn,Change in snow water equivalent,emDay,change_over_time_in_surface_snow_and_ice_amount,,time: mean,longitude latitude time  ,kg/m2,,__unset__,1,LS3MIP,snow-permafrost,,,,,,,,
dsw,Change in Surface Water Storage,emDay,change_over_time_in_surface_water_amount,,time: mean,longitude latitude time  ,kg/m2,,__unset__,1,LS3MIP,land,,,,,,,,
dtes,Change in surface heat storage,emDay,change_over_time_in_thermal_energy_content_of_surface,"Change in heat storage over the soil layer and the vegetation for which the energy balance is calculated, accumulated over the sampling time interval.",time: mean,longitude latitude time  ,J/m2,,__unset__,1,LS3MIP,land,,,,,,,,
dtesn,Change in snow/ice cold content,emDay,change_over_time_in_thermal_energy_content_of_surface_snow_and_ice,"Change in cold content over the snow layer for which the energy balance is calculated, accumulated over the sampling time interval. This should also include the energy contained in the liquid water in the snow pack.",time: mean,longitude latitude time  ,J/m2,,__unset__,1,LS3MIP,snow-permafrost,,,,,,,,
dslw,Change in soil moisture,emDay,change_over_time_in_water_content_of_soil_layer,,time: mean,longitude latitude time  ,kg/m2,,__unset__,1,LS3MIP,land,,,,,,,,
clt,Total Cloud Fraction,emDay,cloud_area_fraction,"For the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.",time: mean,longitude latitude time  ,%,None,atmos,1,LS3MIP,cloud,,,,,,,,
jpdftaureicemodis,"MODIS Optical Thickness-Particle Size joint  distribution, ice",emDay,cloud_area_fraction_in_atmosphere_layer,,time: mean,longitude latitude plev7 time effectRad ,%,,atmos,1,CFMIP,cloud,,,,,,,,
jpdftaureliqmodis,"MODIS Optical Thickness-Particle Size joint  distribution, liquid",emDay,cloud_area_fraction_in_atmosphere_layer,,time: mean,longitude latitude plev7 time effectRad ,%,,atmos,1,CFMIP,cloud,,,,,,,,
prrc,Convective Rainfall rate,emDay,convective_rainfall_flux,,time: mean,longitude latitude time  ,kg/m2/s,,__unset__,1,LS3MIP,precip,,,,,,,,
prsnc,Convective Snowfall Flux,emDay,convective_snowfall_flux,convective precipitation of all forms of water in the solid phase.,time: mean,longitude latitude time  ,kg m-2 s-1,None,atmos,2,LS3MIP,precip,,,,,,,,
dfr,Frozen soil depth,emDay,depth_of_frozen_soil,"Depth from surface to the first zero degree isotherm. Above this isotherm T < 0o, and below this line T > 0o.",time: mean,longitude latitude time  ,m,,__unset__,2,LS3MIP,snow-permafrost,,,,,,,,
t20d,20C isotherm depth,emDay,depth_of_isosurface_of_sea_water_potential_temperature,unset,time: mean,longitude latitude time  ,m,,atmos,1,DCPP,atmos-physics,,,,,,,,
wtd,Water table depth,emDay,depth_of_soil_moisture_saturation,,time: mean,longitude latitude time  ,m,,__unset__,2,LS3MIP,land,,,,,,,,
dmlt,Depth to soil thaw,emDay,depth_of_subsurface_melting,"Depth from surface to the zero degree isotherm. Above this isotherm T > 0o, and below this line T < 0o.",time: mean,longitude latitude time  ,m,,__unset__,2,LS3MIP,snow-permafrost,,,,,,,,
tdps,2m dewpoint temperature,emDay,dew_point_temperature,unset,time: mean,longitude latitude time  ,K,,atmos,1,DCPP,boundary layer,,,,,,,,
ua,Eastward Wind,emDay,eastward_wind,unset,time: point,longitude latitude plev14 time1  ,m s-1,None,atmos,1,HighResMIP,atmos-physics,,,,,,,,
