cmor_label,title,miptable,cf_std_name,description,cell_methods,dimension,units,positive,realm,priority,requesting_mips,UKESM_component,Owner,Variable_mapping,PP_constraint,Stream,Plan,Ticket,Comment (this goes into file metadata?),Notes (this doesn't)
ps,Surface Air Pressure,6hrLev,surface_air_pressure,"surface pressure, not mean sea level pressure",None,longitude latitude time1  ,Pa,None,atmos,1,"AerChemMIP, CORDEX, DAMIP, DCPP, GeoMIP, HighResMIP, PMIP, VolMIP",atmos-physics,,,,,,,,
orog,Surface Altitude,6hrLev,surface_altitude,"height above the geoid; as defined here, the geoid is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Report here the height above the present-day geoid.  Over ocean, report as 0.0",None,longitude latitude   ,m,None,atmos,0,"AerChemMIP, CORDEX, DAMIP, DCPP, GeoMIP, HighResMIP, PMIP, VolMIP",atmos-physics,,,,,,,,
psl,Sea Level Pressure,6hrPlev,air_pressure_at_sea_level,unset,None,longitude latitude time1  ,Pa,None,atmos,1,"CORDEX, DAMIP, DCPP, HighResMIP, VolMIP",atmos-physics,,,,,,,,
ta,Air Temperature,6hrPlev,air_temperature,unset,None,longitude latitude plev3 time1  ,K,None,atmos,1,"CORDEX, DAMIP, HighResMIP, VolMIP",atmos-physics,,,,,,,,
ua,Eastward Wind,6hrPlev,eastward_wind,unset,None,longitude latitude plev3 time1  ,m s-1,None,atmos,1,"CORDEX, DAMIP, HighResMIP, VolMIP",atmos-physics,,,,,,,,
va,Northward Wind,6hrPlev,northward_wind,unset,None,longitude latitude plev3 time1  ,m s-1,None,atmos,1,"CORDEX, DAMIP, HighResMIP, VolMIP",atmos-physics,,,,,,,,
abs550aer,Ambient Aerosol Absorption Optical Thickness at 550 nm,aero,atmosphere_absorption_optical_thickness_due_to_ambient_aerosol,unset,time: mean,longitude latitude time  ,1,None,aerosol,1,,aerosol,,,,,,,,
loadnh4,Load of NH4,aero,atmosphere_mass_content_of_ammonium_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,3,,aerosol,,,,,,,,
loadbc,Load of Black Carbon Aerosol,aero,atmosphere_mass_content_of_black_carbon_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,,aerosol,,,,,,,,
loaddust,Load of Dust,aero,atmosphere_mass_content_of_dust_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,,aerosol,,,,,,,,
loadno3,Load of NO3,aero,atmosphere_mass_content_of_nitrate_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,,aerosol,,,,,,,,
loadoa,Load of Dry Aerosol Organic Matter,aero,atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol,atmosphere dry organic content: This is the vertically integrated sum of atmosphere_primary_organic_content and atmosphere_secondary_organic_content (see next two table entries).,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,,aerosol,,,,,,,,
loadpoa,Load of Dry Aerosol Primary Organic Matter,aero,atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,,aerosol,,,,,,,,
loadss,Load of Seasalt,aero,atmosphere_mass_content_of_seasalt_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,,aerosol,,,,,,,,
loadsoa,Load of Dry Aerosol Secondary Organic Matter,aero,atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,,aerosol,,,,,,,,
loadso4,Load of SO4,aero,atmosphere_mass_content_of_sulfate_dry_aerosol,unset,time: mean,longitude latitude time  ,kg m-2,None,aerosol,1,,aerosol,,,,,,,,
cldnvi,Column Integrated Cloud Droplet Number,aero,atmosphere_number_content_of_cloud_droplets,"Droplets are liquid only.  Values are weighted by liquid cloud fraction in each layer when vertically integrating, and for monthly means the samples are weighted by total liquid cloud fraction (as seen from TOA).",time: mean,longitude latitude time  ,m-2,None,aerosol,1,,aerosol,,,,,,,,
od550aer,Ambient Aerosol Optical Thickness at 550 nm,aero,atmosphere_optical_thickness_due_to_ambient_aerosol,"AOD from the ambient aerosols (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute ''wavelength: 550 nm''.'",time: mean,longitude latitude time  ,1,None,aerosol,1,,aerosol,,,,,,,,
od870aer,Ambient Aerosol Optical Thickness at 870 nm,aero,atmosphere_optical_thickness_due_to_ambient_aerosol,"AOD from the ambient aerosls (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types.",time: mean,longitude latitude time  ,1,None,aerosol,2,,aerosol,,,,,,,,
od550lt1aer,Ambient Fine Aerosol Optical Thickness at 550 nm,aero,atmosphere_optical_thickness_due_to_pm1_ambient_aerosol,"od550 due to particles with wet diameter less than 1 um  (ambient means wetted). When models do not include explicit size information, it can be assumed that all anthropogenic aerosols and natural secondary aerosols have diameter less than 1 um.",time: mean,longitude latitude time  ,1,None,aerosol,1,,aerosol,,,,,,,,
reffclwtop,Cloud-Top Effective Droplet Radius,aero,effective_radius_of_cloud_liquid_water_particle_at_liquid_water_cloud_top,"Droplets are liquid only.  This is the effective radius as seen from space over liquid cloudy portion of grid cell.  This is the value from uppermost model layer with liquid cloud or, if available, or for some models it is the sum over all liquid cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere. Reported values are weighted by total liquid cloud top fraction of  (as seen from TOA) each time sample when computing monthly mean.",time: mean,longitude latitude time  ,m,None,aerosol,1,,aerosol,,,,,,,,
reffclwc,Convective Cloud Droplet Effective Radius,aero,effective_radius_of_convective_cloud_liquid_water_particle,"Droplets are liquid.  The effective radius is defined as the ratio of the third moment over the second moment of the particle size distribution and the time-mean should be calculated, weighting the individual samples by the cloudy fraction of the grid cell.",time: mean,longitude latitude alevel time  ,m,None,aerosol,1,,aerosol,,,,,,,,
reffclws,Stratiform Cloud Droplet Effective Radius,aero,effective_radius_of_stratiform_cloud_liquid_water_particle,"Droplets are liquid.  The effective radius is defined as the ratio of the third moment over the second moment of the particle size distribution and the time-mean should be calculated, weighting the individual samples by the cloudy fraction of the grid cell.",time: mean,longitude latitude alevel time  ,m,None,aerosol,1,,aerosol,,,,,,,,
concnh4,Concentration of NH4,aero,mass_concentration_of_ammonium_dry_aerosol_in_air,unset,time: mean,longitude latitude alevel time  ,kg m-3,None,aerosol,1,,aerosol,,,,,,,,
sconcnh4,Surface Concentration of NH4,aero,mass_concentration_of_ammonium_dry_aerosol_in_air,Mass concentration in model lowest layer,time: mean,longitude latitude alev1 time  ,kg m-3,None,aerosol,3,,aerosol,,,,,,,,
concbb,Concentration of Biomass Burning Aerosol,aero,mass_concentration_of_biomass_burning_dry_aerosol_in_air,unset,time: mean,longitude latitude alevel time  ,kg m-3,None,aerosol,1,,aerosol,,,,,,,,
concbc,Concentration of Black Carbon Aerosol,aero,mass_concentration_of_black_carbon_dry_aerosol_in_air,unset,time: mean,longitude latitude alevel time  ,kg m-3,None,aerosol,1,,aerosol,,,,,,,,
sconcbc,Surface Concentration of Black Carbon Aerosol,aero,mass_concentration_of_black_carbon_dry_aerosol_in_air,mass concentration of black carbon dry aerosol in air in model lowest layer,time: mean,longitude latitude alev1 time  ,kg m-3,None,aerosol,3,,aerosol,,,,,,,,
concdust,Concentration of Dust,aero,mass_concentration_of_dust_dry_aerosol_in_air,unset,time: mean,longitude latitude alevel time  ,kg m-3,None,aerosol,1,,aerosol,,,,,,,,
sconcdust,Surface Concentration of Dust,aero,mass_concentration_of_dust_dry_aerosol_in_air,mass concentration of dust dry aerosol in air in model lowest layer,time: mean,longitude latitude alev1 time  ,kg m-3,None,aerosol,3,,aerosol,,,,,,,,
concno3,Concentration of NO3 Aerosol,aero,mass_concentration_of_nitrate_dry_aerosol_in_air,unset,time: mean,longitude latitude alevel time  ,kg m-3,None,aerosol,1,,aerosol,,,,,,,,
sconcno3,Surface Concentration of NO3,aero,mass_concentration_of_nitrate_dry_aerosol_in_air,Mass concentration in model lowest layer,time: mean,longitude latitude alev1 time  ,kg m-3,None,aerosol,3,,aerosol,,,,,,,,
concoa,Concentration of Dry Aerosol Organic Matter,aero,mass_concentration_of_particulate_organic_matter_dry_aerosol_in_air,unset,time: mean,longitude latitude alevel time  ,kg m-3,None,aerosol,1,,aerosol,,,,,,,,
sconcoa,Surface Concentration of Dry Aerosol Organic Matter,aero,mass_concentration_of_particulate_organic_matter_dry_aerosol_in_air,mass concentration of particulate organic matter dry aerosol in air in model lowest layer,time: mean,longitude latitude alev1 time  ,kg m-3,None,aerosol,3,,aerosol,,,,,,,,
concpoa,Concentration of Dry Aerosol Primary Organic Matter,aero,mass_concentration_of_primary_particulate_organic_matter_dry_aerosol_in_air,unset,time: mean,longitude latitude alevel time  ,kg m-3,None,aerosol,1,,aerosol,,,,,,,,
sconcpoa,Surface Concentration of Dry Aerosol Primary Organic Matter,aero,mass_concentration_of_primary_particulate_organic_matter_dry_aerosol_in_air,mass concentration of primary particulate organic matter dry aerosol in air in model lowest layer,time: mean,longitude latitude alev1 time  ,kg m-3,None,aerosol,3,,aerosol,,,,,,,,
concss,Concentration of Seasalt,aero,mass_concentration_of_seasalt_dry_aerosol_in_air,unset,time: mean,longitude latitude alevel time  ,kg m-3,None,aerosol,1,,aerosol,,,,,,,,
sconcss,Surface Concentration of Seasalt,aero,mass_concentration_of_seasalt_dry_aerosol_in_air,mass concentration of seasalt dry aerosol in air in model lowest layer,time: mean,longitude latitude alev1 time  ,kg m-3,None,aerosol,3,,aerosol,,,,,,,,
concsoa,Concentration of Dry Aerosol Secondary Organic Matter,aero,mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_in_air,unset,time: mean,longitude latitude alevel time  ,kg m-3,None,aerosol,1,,aerosol,,,,,,,,
sconcsoa,Surface Concentration of Dry Aerosol Secondary Organic Matter,aero,mass_concentration_of_secondary_particulate_organic_matter_dry_aerosol_in_air,"mass concentration of secondary particulate organic matter dry aerosol in air in model lowest layer.  If the model lumps SOA with POA, then their sum is reported as POA.",time: mean,longitude latitude alev1 time  ,kg m-3,None,aerosol,3,,aerosol,,,,,,,,
concso4,Concentration of SO4,aero,mass_concentration_of_sulfate_dry_aerosol_in_air,unset,time: mean,longitude latitude alevel time  ,kg m-3,None,aerosol,1,,aerosol,,,,,,,,
sconcso4,Surface Concentration of SO4,aero,mass_concentration_of_sulfate_dry_aerosol_in_air,mass concentration of sulfate dry aerosol in air in model lowest layer.,time: mean,longitude latitude alev1 time  ,kg m-3,None,aerosol,3,,aerosol,,,,,,,,
concaerh2o,Concentration of Aerosol Water,aero,mass_concentration_of_water_in_ambient_aerosol_in_air,ambient means wetted,time: mean,longitude latitude alevel time  ,kg m-3,None,aerosol,1,,aerosol,,,,,,,,
concdms,Mole Fraction of DMS,aero,mole_fraction_of_dimethyl_sulfide_in_air,unset,time: mean,longitude latitude alevel time  ,1,None,aerosol,1,,aerosol,,,,,,,,
